timestamp,open,high,low,close,volume
1745273700000,1574.71,1574.81,1570.73,1571.47,3324.11
1745274000000,1571.47,1573.96,1571.46,1573.75,1879.08
1745274300000,1573.75,1574.19,1573.01,1573.95,955.25
1745274600000,1573.95,1576.73,1573.94,1576.65,1641.37
1745274900000,1576.65,1577.69,1576.3,1576.4,1526.69
1745275200000,1576.4,1576.4,1575.24,1575.86,2378.71
1745275500000,1575.86,1576.93,1575.22,1576.27,1528.34
1745275800000,1576.27,1576.67,1575.26,1575.72,1623.77
1745276100000,1575.72,1578.05,1575.61,1577.04,2272.9
1745276400000,1577.04,1577.04,1573.1,1573.19,2227.1
1745276700000,1573.19,1573.69,1571.22,1572.17,3673.16
1745277000000,1572.17,1574.59,1571.98,1574.0,2002.12
1745277300000,1574.0,1575.94,1573.61,1575.38,2663.04
1745277600000,1575.38,1576.0,1574.71,1575.79,1530.13
1745277900000,1575.79,1576.54,1575.64,1576.54,1350.86
1745278200000,1576.54,1577.23,1574.56,1574.78,1360.19
1745278500000,1574.78,1575.32,1574.1,1575.18,460.82
1745278800000,1575.18,1575.19,1574.0,1574.08,1755.8
1745279100000,1574.08,1577.53,1572.94,1577.41,2254.13
1745279400000,1577.41,1579.09,1577.1,1578.5,2524.15
1745279700000,1578.5,1580.3,1578.41,1578.81,3679.91
1745280000000,1578.81,1579.76,1576.89,1576.92,5589.42
1745280300000,1576.92,1580.3,1574.78,1575.0,5201.04
1745280600000,1575.0,1575.76,1573.19,1575.14,1930.42
1745280900000,1575.14,1576.8,1574.28,1575.91,1322.51
1745281200000,1575.91,1575.94,1573.0,1573.84,2068.08
1745281500000,1573.84,1575.74,1573.59,1575.06,2631.41
1745281800000,1575.06,1575.07,1564.07,1565.3,16358.36
1745282100000,1565.3,1566.6,1535.02,1557.5,120318.58
1745282400000,1557.5,1560.86,1554.94,1560.26,13776.96
1745282700000,1560.26,1561.13,1553.2,1560.63,6991.33
1745283000000,1560.63,1564.02,1560.61,1563.9,14064.59
1745283300000,1563.9,1568.4,1562.22,1568.17,6994.97
1745283600000,1568.17,1568.6,1564.09,1566.78,5866.25
1745283900000,1566.78,1569.19,1565.18,1568.84,3576.64
1745284200000,1568.84,1571.01,1567.42,1569.75,10672.94
1745284500000,1569.75,1581.84,1569.47,1578.79,25386.7
1745284800000,1578.79,1588.54,1578.79,1581.38,31830.23
1745285100000,1581.38,1583.16,1577.28,1577.29,14386.59
1745285400000,1577.29,1586.32,1577.0,1584.75,9351.57
1745285700000,1584.75,1584.9,1581.0,1582.0,5675.15
1745286000000,1582.0,1584.76,1580.82,1584.53,2727.03
1745286300000,1584.53,1585.72,1582.5,1583.65,3780.18
1745286600000,1583.65,1586.17,1582.92,1584.99,4030.3
1745286900000,1584.99,1587.95,1584.98,1586.7,3462.18
1745287200000,1586.7,1593.0,1585.81,1589.94,45514.62
1745287500000,1589.94,1591.39,1588.61,1589.0,6197.88
1745287800000,1589.0,1589.0,1584.0,1584.19,8460.82
1745288100000,1584.19,1584.2,1578.6,1579.22,8521.38
1745288400000,1579.22,1581.33,1578.3,1579.41,5407.41
1745288700000,1579.41,1579.48,1567.06,1571.7,20408.55
1745289000000,1571.7,1575.81,1566.12,1574.73,23741.18
1745289300000,1574.73,1578.8,1573.52,1574.01,16694.52
1745289600000,1574.01,1575.41,1571.36,1571.66,4992.35
1745289900000,1571.66,1576.28,1570.56,1575.16,4252.49
1745290200000,1575.16,1577.54,1573.49,1574.32,3874.19
1745290500000,1574.32,1576.27,1573.72,1576.19,1432.68
1745290800000,1576.19,1579.8,1574.74,1578.06,3321.17
1745291100000,1578.06,1578.07,1572.81,1572.86,3975.36
1745291400000,1572.86,1573.2,1570.41,1572.99,6572.26
1745291700000,1572.99,1576.46,1571.58,1576.46,3146.37
1745292000000,1576.46,1577.93,1575.17,1577.62,2008.55
1745292300000,1577.62,1577.9,1576.1,1576.46,2614.81
1745292600000,1576.46,1577.7,1574.06,1576.4,2506.75
1745292900000,1576.4,1577.5,1575.49,1576.16,1422.75
1745293200000,1576.16,1578.87,1575.42,1578.43,12263.8
1745293500000,1578.43,1579.16,1577.22,1578.56,2671.06
1745293800000,1578.56,1580.0,1576.89,1577.6,2262.95
1745294100000,1577.6,1578.57,1577.24,1578.41,1462.37
1745294400000,1578.41,1582.08,1578.25,1581.89,4307.05
1745294700000,1581.89,1585.56,1581.7,1585.29,4912.2
1745295000000,1585.29,1586.38,1581.83,1582.72,4429.69
1745295300000,1582.72,1583.33,1581.57,1582.59,1476.88
1745295600000,1582.59,1584.73,1582.44,1584.55,4446.92
1745295900000,1584.55,1584.56,1581.83,1583.02,1298.03
1745296200000,1583.02,1583.39,1581.05,1582.97,1678.97
1745296500000,1582.97,1583.17,1581.17,1582.94,1306.82
1745296800000,1582.94,1583.89,1582.57,1583.3,628.25
1745297100000,1583.3,1583.86,1581.0,1582.4,928.78
1745297400000,1582.4,1582.4,1580.0,1580.47,3536.06
1745297700000,1580.47,1580.96,1576.59,1576.94,4502.17
1745298000000,1576.94,1578.1,1574.05,1576.54,3717.98
1745298300000,1576.54,1578.7,1574.72,1577.64,2802.02
1745298600000,1577.64,1577.86,1573.05,1573.41,3006.55
1745298900000,1573.41,1575.84,1572.88,1575.69,2226.78
1745299200000,1575.69,1575.89,1573.89,1574.41,1695.4
1745299500000,1574.41,1576.0,1573.63,1575.99,1312.46
1745299800000,1575.99,1580.58,1575.25,1580.5,4262.07
