timestamp,open,high,low,close,volume,turnover,atr,interval
1747681500000,2484.61,2493.24,2483.11,2489.75,8224.78,20472131.3594,0.0,5
1747681200000,2488.8,2491.0,2478.38,2484.61,6399.67,15892229.8097,0.0,5
1747680900000,2485.81,2489.22,2484.06,2488.8,4014.0,9980382.2381,0.0,5
1747680600000,2494.79,2495.94,2483.41,2485.81,9968.39,24797864.1622,0.0,5
1747680300000,2495.44,2499.13,2492.65,2494.79,4202.74,10489474.6251,0.0,5
1747680000000,2498.1,2500.87,2492.62,2495.44,7854.9,19611670.2171,0.0,5
1747679700000,2479.98,2500.26,2479.82,2498.1,32520.05,81042924.1062,0.0,5
1747679400000,2498.1,2498.11,2470.85,2479.98,79890.39,198283604.1519,0.0,5
1747679100000,2500.47,2502.36,2497.01,2498.1,16746.73,41850732.9147,0.0,5
1747678800000,2502.64,2503.14,2493.79,2500.47,26751.99,66810922.0506,0.0,5
1747678500000,2510.13,2518.01,2500.37,2502.64,15355.38,38512082.2279,0.0,5
1747678200000,2512.91,2513.3,2507.75,2510.13,6551.59,16446051.7371,0.0,5
1747677900000,2512.01,2514.41,2506.86,2512.91,13174.0,33082787.7359,0.0,5
1747677600000,2503.8,2514.05,2500.01,2512.01,26294.82,65983679.5621,13.666428571428598,5
1747677300000,2514.4,2515.3,2500.51,2503.8,19443.96,48776641.9559,13.999285714285763,5
1747677000000,2517.9,2519.63,2512.12,2514.4,10590.25,26644707.0002,14.228571428571481,5
1747676700000,2516.07,2520.89,2511.73,2517.9,9329.8,23487664.5295,14.514285714285766,5
1747676400000,2519.33,2520.6,2510.73,2516.07,13146.58,33061836.9281,14.324285714285745,5
1747676100000,2524.5,2525.62,2518.0,2519.33,7148.3,18021608.0532,14.054999999999998,5
1747675800000,2526.87,2529.89,2516.0,2524.5,19560.86,49309847.5656,14.457857142857133,5
1747675500000,2525.82,2530.6,2525.81,2526.87,7289.04,18426849.698,13.433571428571408,5
1747675200000,2518.39,2534.48,2518.39,2525.82,14503.11,36654034.0165,12.63571428571426,5
1747674900000,2517.41,2531.5,2515.09,2518.39,26026.62,65685411.0248,12.20928571428567,5
1747674600000,2539.54,2540.59,2516.1,2517.41,54479.52,137647162.556,13.290714285714264,5
1747674300000,2521.12,2546.28,2518.71,2539.54,57926.24,146772971.7664,14.092857142857124,5
1747674000000,2508.55,2524.0,2506.13,2521.12,50523.91,127140621.0288,15.71785714285709,5
1747673700000,2494.3,2509.48,2491.9,2508.55,30608.69,76569812.8153,17.26571428571424,5
1747673400000,2489.72,2499.36,2489.72,2494.3,16925.05,42233928.4105,17.607857142857124,5
1747673100000,2476.17,2493.17,2474.71,2489.72,36620.63,91008821.3957,17.95071428571428,5
1747672800000,2466.2,2479.02,2466.2,2476.17,14098.36,34862368.5069,18.5,5
1747672500000,2468.09,2471.31,2462.99,2466.2,6365.37,15700331.1957,18.78714285714289,5
1747672200000,2471.09,2474.99,2467.21,2468.09,11238.29,27773560.0315,18.710000000000036,5
1747671900000,2466.69,2471.36,2462.85,2471.09,10131.44,24988285.3429,18.635714285714357,5
1747671600000,2462.09,2471.91,2460.83,2466.69,24554.91,60551512.7176,18.435000000000077,5
1747671300000,2454.86,2462.99,2454.61,2462.09,8121.93,19981705.7205,18.862142857142935,5
1747671000000,2451.7,2458.91,2451.64,2454.86,6770.8,16624451.6718,18.4592857142858,5
1747670700000,2459.16,2460.56,2449.12,2451.7,18102.51,44435340.0538,18.104285714285815,5
1747670400000,2465.64,2467.3,2458.6,2459.16,6650.0,16375687.5278,17.469285714285824,5
1747670100000,2459.1,2468.99,2458.91,2465.64,11487.12,28306761.1455,16.127142857142935,5
1747669800000,2464.0,2466.11,2458.0,2459.1,13124.03,32295732.7226,14.320000000000098,5
1747669500000,2465.41,2472.37,2463.7,2464.0,14081.89,34754427.7136,13.180714285714398,5
1747669200000,2460.0,2465.67,2460.0,2465.41,10172.78,25055010.0594,12.240714285714375,5
1747668900000,2454.96,2465.18,2454.96,2460.0,20763.48,51099278.8249,11.587857142857208,5
1747668600000,2448.27,2456.41,2446.82,2454.96,9844.17,24158380.6478,10.84928571428577,5
1747668300000,2450.55,2452.02,2446.66,2448.27,7970.19,19518289.1622,10.500714285714334,5
1747668000000,2452.75,2458.41,2449.95,2450.55,10643.31,26122584.9762,10.597142857142899,5
1747667700000,2453.57,2455.92,2447.64,2452.75,10221.34,25063067.7336,10.580714285714325,5
1747667400000,2456.8,2459.48,2450.31,2453.57,15255.91,37438393.2995,10.444285714285765,5
1747667100000,2450.59,2458.28,2449.8,2456.8,15485.31,38011788.4507,10.187142857142915,5
1747666800000,2446.32,2451.03,2442.11,2450.59,8534.1,20873468.0594,10.490000000000041,5
1747666500000,2451.34,2453.97,2443.77,2446.32,9263.04,22688889.1969,10.401428571428596,5
1747666200000,2446.8,2452.29,2444.47,2451.34,9395.51,23014927.8273,9.845714285714296,5
1747665900000,2444.8,2451.99,2444.4,2446.8,15068.68,36901494.2392,9.667857142857136,5
1747665600000,2442.79,2449.08,2441.37,2444.8,9827.42,24028616.4191,9.639285714285702,5
1747665300000,2443.58,2446.43,2442.03,2442.79,6030.84,14738330.954,9.005714285714248,5
1747665000000,2433.0,2445.31,2431.97,2443.58,8771.28,21400104.0876,9.553571428571397,5
1747664700000,2436.84,2437.71,2427.32,2433.0,8654.13,21046194.5575,9.968571428571392,5
1747664400000,2442.4,2444.23,2436.0,2436.84,9137.02,22293642.6884,9.82928571428569,5
1747664100000,2427.39,2447.88,2427.04,2442.4,17366.9,42393749.2133,10.724999999999975,5
1747663800000,2435.38,2437.39,2427.0,2427.39,18518.45,45020301.4492,11.100714285714275,5
1747663500000,2427.49,2436.0,2416.41,2435.38,22941.46,55609124.6275,11.908571428571415,5
1747663200000,2426.57,2433.46,2423.06,2427.49,33812.38,82089133.1869,12.13357142857142,5
1747662900000,2433.65,2439.0,2424.0,2426.57,13132.79,31938876.1755,12.599285714285704,5
1747662600000,2431.8,2439.0,2426.98,2433.65,10749.79,26147870.9597,12.437857142857117,5
1747662300000,2433.01,2442.34,2430.86,2431.8,26463.83,64512422.0777,12.529285714285704,5
1747662000000,2434.19,2440.0,2426.51,2433.01,18736.53,45562340.4507,12.934285714285677,5
1747661700000,2408.01,2440.0,2403.3,2434.19,43140.59,104731280.265,15.0135714285714,5
1747661400000,2402.43,2413.0,2395.15,2408.01,17927.05,43129631.7374,17.251428571428537,5
1747661100000,2402.67,2406.1,2401.36,2402.43,2144.9,5155838.5112,17.412142857142857,5
1747660800000,2399.36,2404.44,2397.0,2402.67,3164.46,7598869.1593,16.99071428571428,5
1747660500000,2395.33,2400.01,2393.46,2399.36,4248.01,10180075.1742,16.487142857142867,5
1747660200000,2403.5,2404.56,2394.31,2395.33,8282.02,19867351.4285,16.417142857142867,5
1747659900000,2405.23,2407.18,2402.88,2403.5,3652.09,8782863.2556,15.774999999999993,5
1747659600000,2400.32,2406.45,2399.2,2405.23,8924.01,21445111.5278,15.19285714285713,5
1747659300000,2394.08,2400.36,2388.65,2400.32,6961.54,16676125.9963,14.977857142857115,5
1747659000000,2395.07,2395.92,2391.0,2394.08,3041.58,7280250.1673,14.7635714285714,5
1747658700000,2399.62,2400.7,2393.21,2395.07,7010.56,16805457.718,14.227142857142812,5
1747658400000,2385.58,2400.48,2384.2,2399.62,13100.76,31350374.2849,14.50214285714284,5
1747658100000,2396.15,2398.01,2383.51,2385.58,26612.75,63573079.7298,14.8328571428571,5
1747657800000,2403.56,2403.7,2395.15,2396.15,4800.93,11517467.6799,15.163571428571393,5
1747657500000,2402.17,2405.19,2400.33,2403.56,3607.99,8668669.2043,13.187857142857117,5
1747657200000,2393.92,2404.66,2392.23,2402.17,7421.5,17812424.6468,11.287142857142824,5
1747656900000,2400.41,2400.48,2391.34,2393.92,8670.08,20766887.6215,11.585714285714241,5
1747656600000,2400.81,2402.98,2395.06,2400.41,12161.9,29177946.7565,11.701428571428519,5
1747656300000,2410.4,2410.4,2397.72,2400.81,14035.71,33736929.0907,11.94928571428568,5
1747656000000,2417.1,2420.69,2409.17,2410.4,10397.54,25109610.9449,12.63714285714283,5
1747655700000,2418.56,2422.0,2417.1,2417.1,11248.88,27216591.7851,12.619285714285686,5
1747655400000,2418.02,2418.65,2417.1,2418.56,2724.35,6586951.9836,12.212142857142842,5
1747655100000,2419.18,2419.99,2416.35,2418.02,3591.35,8685067.578,11.287857142857124,5
1747654800000,2411.21,2419.99,2410.28,2419.18,5573.19,13472546.4559,11.315714285714225,5
1747654500000,2408.82,2414.6,2408.82,2411.21,3744.57,9033386.9639,11.520714285714218,5
1747654200000,2412.92,2414.0,2408.11,2408.82,2400.57,5787921.3684,10.778571428571338,5
1747653900000,2412.29,2413.39,2411.0,2412.92,2188.11,5278146.2497,9.954285714285627,5
1747653600000,2415.1,2417.74,2412.29,2412.29,6574.5,15873658.5568,9.04928571428562,5
